Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,119.190002,119.389999,118.599998,119.080002,4551800,118.262777
2016-08-31,119.540001,119.620003,119.010002,119.339996,5693100,118.520988
2016-08-30,120.669998,120.669998,119.260002,119.470001,3820500,118.6501
2016-08-29,119.300003,120.129997,119.059998,119.919998,5074900,119.097009
2016-08-26,118.839996,119.739998,118.559998,119.040001,6482700,118.223051
2016-08-25,118.860001,119.209999,118.330002,118.57,5566000,117.756275
2016-08-24,119.480003,119.610001,118.620003,118.709999,6303900,117.895314
2016-08-23,119.669998,119.959999,119.019997,119.440002,5603200,118.620307
2016-08-22,119.900002,119.900002,118.949997,119.129997,6544900,118.31243
2016-08-19,119.910004,119.989998,119.32,119.919998,7798300,119.097009
2016-08-18,121.169998,121.389999,119.900002,120.720001,8728000,119.097012
2016-08-17,120.50,121.330002,119.849998,121.309998,10442800,119.679076
2016-08-16,122.110001,122.32,120.059998,120.330002,11289100,118.712256
2016-08-15,123.120003,123.269997,122.279999,122.309998,6469500,120.665632
2016-08-12,123.470001,123.769997,122.949997,123.220001,4234800,121.563401
2016-08-11,123.849998,124.139999,123.470001,123.769997,4052000,122.106003
2016-08-10,123.589996,123.779999,123.239998,123.360001,4333500,121.701519
2016-08-09,123.910004,124.00,123.330002,123.43,3941500,121.770577
2016-08-08,124.00,124.150002,123.230003,123.650002,5232500,121.987621
2016-08-05,124.379997,124.379997,123.760002,124.239998,5146900,122.569685
2016-08-04,124.239998,124.389999,123.639999,123.860001,4728200,122.194796
2016-08-03,125.00,125.00,123.690002,123.900002,5310600,122.23426
2016-08-02,125.650002,125.900002,124.480003,124.849998,7158700,123.171485
2016-08-01,125.309998,125.709999,125.099998,125.400002,4615100,123.714093
2016-07-29,124.339996,125.32,124.339996,125.230003,7020900,123.546381
2016-07-28,124.980003,125.00,124.410004,124.459999,4320400,122.786728
2016-07-27,125.099998,125.230003,124.339996,124.769997,4812600,123.092558
2016-07-26,125.029999,125.550003,124.75,125.150002,5589900,123.467454
2016-07-25,125.07,125.129997,124.139999,124.889999,4880600,123.210948
2016-07-22,125.120003,125.349998,124.650002,125.029999,5839200,123.349065
2016-07-21,125.209999,125.739998,124.889999,125.150002,5492600,123.467454
2016-07-20,125.839996,126.07,125.040001,125.139999,7334600,123.457587
2016-07-19,124.779999,125.75,123.339996,125.25,11325700,123.566108
2016-07-18,123.00,123.220001,122.440002,123.139999,6599200,121.484475
2016-07-15,123.769997,124.300003,122.709999,123.00,7192800,121.346358
2016-07-14,122.980003,123.739998,122.910004,123.18,5322700,121.523938
2016-07-13,122.68,123.400002,122.300003,123.00,5230800,121.346358
